"filename", "language", "Rust", "Markdown", "comment", "blank", "total"
"c:\Users\brela\Desktop\toyDB-cp\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\brela\Desktop\toyDB-cp\src\error.rs", "Rust", 77, 0, 0, 23, 100
"c:\Users\brela\Desktop\toyDB-cp\src\lib.rs", "Rust", 6, 0, 0, 0, 6
"c:\Users\brela\Desktop\toyDB-cp\src\raft\client.rs", "Rust", 37, 0, 0, 9, 46
"c:\Users\brela\Desktop\toyDB-cp\src\raft\log.rs", "Rust", 148, 0, 0, 22, 170
"c:\Users\brela\Desktop\toyDB-cp\src\raft\message.rs", "Rust", 61, 0, 0, 16, 77
"c:\Users\brela\Desktop\toyDB-cp\src\raft\mod.rs", "Rust", 8, 0, 0, 1, 9
"c:\Users\brela\Desktop\toyDB-cp\src\raft\node\candidate.rs", "Rust", 114, 0, 0, 14, 128
"c:\Users\brela\Desktop\toyDB-cp\src\raft\node\follower.rs", "Rust", 148, 0, 1, 24, 173
"c:\Users\brela\Desktop\toyDB-cp\src\raft\node\leader.rs", "Rust", 196, 0, 0, 22, 218
"c:\Users\brela\Desktop\toyDB-cp\src\raft\node\mod.rs", "Rust", 205, 0, 0, 25, 230
"c:\Users\brela\Desktop\toyDB-cp\src\raft\server.rs", "Rust", 207, 0, 0, 16, 223
"c:\Users\brela\Desktop\toyDB-cp\src\raft\status.rs", "Rust", 192, 0, 1, 25, 218
"c:\Users\brela\Desktop\toyDB-cp\src\server.rs", "Rust", 0, 0, 0, 5, 5
"c:\Users\brela\Desktop\toyDB-cp\src\sql\mod.rs", "Rust", 3, 0, 0, 0, 3
"c:\Users\brela\Desktop\toyDB-cp\src\sql\parser\lexer.rs", "Rust", 34, 0, 1, 10, 45
"c:\Users\brela\Desktop\toyDB-cp\src\sql\parser\mod.rs", "Rust", 1, 0, 0, 0, 1
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\engine.rs", "Rust", 44, 0, 0, 27, 71
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\kv\coding.rs", "Rust", 183, 0, 1, 36, 220
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\kv\kv.rs", "Rust", 274, 0, 0, 48, 322
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\kv\memory.rs", "Rust", 611, 0, 2, 115, 728
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\kv\mod.rs", "Rust", 54, 0, 0, 16, 70
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\kv\mvcc.rs", "Rust", 425, 0, 4, 79, 508
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\mod.rs", "Rust", 18, 0, 0, 5, 23
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\raft.rs", "Rust", 226, 0, 1, 40, 267
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\raftlog\log.rs", "Rust", 220, 0, 2, 35, 257
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\raftlog\mod.rs", "Rust", 37, 0, 0, 16, 53
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\schema.rs", "Rust", 176, 0, 0, 33, 209
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\types\expression.rs", "Rust", 479, 0, 39, 34, 552
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\types\mod.rs", "Rust", 5, 0, 0, 1, 6
"c:\Users\brela\Desktop\toyDB-cp\src\sql\storage\types\sqltype.rs", "Rust", 79, 0, 0, 13, 92
"Total", "-", 4268, 2, 52, 711, 5033
